pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t1_active_s,t2_active_s,t3_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,14580.52,4500.00,3,N,,,35332.56,0.00,700.00,13687.52,0.00,3600.00,900.00,1.0062e+0,1.4180e+5,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,40408.51,4500.00,3,N,,,33780.20,0.00,700.00,39515.51,0.00,3600.00,900.00,1.0062e+0,5.0434e+5,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,12263.89,4500.00,3,N,,,15335.42,0.00,700.00,11370.89,0.00,3600.00,900.00,1.0062e+0,1.0928e+5,
p2,realistic-engaged,comp-rusher,completion,0,engagement-profile,14580.52,4500.00,3,N,,,43433.86,0.00,587.00,13684.52,0.00,3600.00,900.00,1.0002e+0,1.4778e+5,
p2,realistic-engaged,comp-rusher,completion,1,engagement-profile,40408.51,4500.00,3,N,,,15675.26,0.00,587.00,39512.51,0.00,3600.00,900.00,1.0002e+0,5.2494e+5,
p2,realistic-engaged,comp-rusher,completion,2,engagement-profile,12263.89,4500.00,3,N,,,22082.43,0.00,587.00,11367.89,0.00,3600.00,900.00,1.0002e+0,1.1394e+5,
p3,realistic-engaged,thr-hoarder,threshold,0,engagement-profile,14580.52,4500.00,3,N,,,9571.53,0.00,781.00,13682.52,0.00,3600.00,900.00,9.6121e-1,1.0133e+5,
p3,realistic-engaged,thr-hoarder,threshold,1,engagement-profile,40408.51,4500.00,3,N,,,13848.40,0.00,781.00,39510.51,0.00,3600.00,900.00,9.6121e-1,3.6002e+5,
p3,realistic-engaged,thr-hoarder,threshold,2,engagement-profile,12263.89,4500.00,3,N,,,14993.49,0.00,781.00,11365.89,0.00,3600.00,900.00,9.6121e-1,7.8128e+4,
p4,realistic-engaged,thr-rusher,threshold,0,engagement-profile,14580.52,4500.00,3,N,,,33454.76,0.00,569.00,13682.52,0.00,3600.00,900.00,9.6423e-1,1.3475e+5,
p4,realistic-engaged,thr-rusher,threshold,1,engagement-profile,40408.51,4500.00,3,N,,,136390.84,0.00,569.00,39510.51,0.00,3600.00,900.00,9.6423e-1,4.7842e+5,
p4,realistic-engaged,thr-rusher,threshold,2,engagement-profile,12263.89,4500.00,3,N,,,15080.55,0.00,569.00,11365.89,0.00,3600.00,900.00,9.6423e-1,1.0392e+5,
