pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t5_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t5_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass,t5_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,389012.88,17100.00,5,N,,,16470462336.01,0.00,700.00,13687.52,226779.80,388116.88,0.00,3600.00,7200.00,5400.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,1.3081e+11,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,195853.78,15300.00,5,N,,,172881000521.61,0.00,700.00,39515.51,101187.03,195152.78,0.00,3600.00,4500.00,6300.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,7.3577e+10,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,290554.49,16200.00,5,N,,,15049914918.24,0.00,700.00,11370.89,147732.99,289656.49,0.00,3600.00,6300.00,5400.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,4.1249e+11,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,311308.98,12600.00,5,N,,,15112769157.68,0.00,700.00,26218.78,125744.80,310963.98,0.00,3600.00,3600.00,4500.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,6.0328e+10,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,376255.65,12600.00,5,N,,,24025515511.48,0.00,700.00,16881.31,178518.49,375359.65,0.00,3600.00,4500.00,3600.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,2.1221e+11,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,259038.60,14400.00,5,N,,,18873734818.75,0.00,700.00,22261.71,158058.10,258141.60,0.00,3600.00,2700.00,7200.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,5.0989e+10,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,314586.66,10800.00,5,N,,,23421389227.65,0.00,700.00,10202.24,213900.44,313690.66,0.00,3600.00,2700.00,3600.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,8.0562e+10,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,220166.74,14400.00,5,N,,,24685185943.55,0.00,700.00,6791.07,99786.98,219270.74,0.00,3600.00,5400.00,4500.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,1.5085e+11,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,314966.10,9000.00,5,N,,,207129440269.28,0.00,700.00,110426.72,172412.97,314068.10,0.00,3600.00,1800.00,2700.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,2.3317e+11,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,299048.57,15300.00,5,N,,,53177193798.20,0.00,700.00,15604.78,148052.59,298150.57,0.00,3600.00,6300.00,4500.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,6.5053e+10,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,258827.71,16200.00,5,N,,,14725218443.42,0.00,700.00,19243.09,129873.21,257934.71,0.00,3600.00,4500.00,7200.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,1.8869e+11,
