pairing_id,timing,buyer,mode,run_idx,kind,total_calendar_s,total_active_s,final_tier,dnf,dnf_reason_category,dnf_reason,final_mass,t1_entry_s,t2_entry_s,t3_entry_s,t4_entry_s,t1_active_s,t2_active_s,t3_active_s,t4_active_s,t1_exit_mass,t2_exit_mass,t3_exit_mass,t4_exit_mass
p1,realistic-engaged,comp-hoarder,completion,0,engagement-profile,227677.80,11700.00,4,N,,,2650975.68,0.00,700.00,13687.52,226779.80,0.00,3600.00,7200.00,900.00,1.0062e+0,1.4180e+5,2.2083e+7,
p1,realistic-engaged,comp-hoarder,completion,1,engagement-profile,102084.03,9000.00,4,N,,,326483.76,0.00,700.00,39515.51,101187.03,0.00,3600.00,4500.00,900.00,1.0062e+0,5.0434e+5,8.4564e+7,
p1,realistic-engaged,comp-hoarder,completion,2,engagement-profile,148630.99,10800.00,4,N,,,2461287.87,0.00,700.00,11370.89,147732.99,0.00,3600.00,6300.00,900.00,1.0062e+0,1.0928e+5,5.5025e+7,
p1,realistic-engaged,comp-hoarder,completion,3,engagement-profile,126636.80,8100.00,4,N,,,145914.82,0.00,700.00,26218.78,125744.80,0.00,3600.00,3600.00,900.00,1.0062e+0,3.1770e+5,5.7450e+7,
p1,realistic-engaged,comp-hoarder,completion,4,engagement-profile,179416.49,9000.00,4,N,,,8016666.22,0.00,700.00,16881.31,178518.49,0.00,3600.00,4500.00,900.00,1.0062e+0,1.8664e+5,2.3863e+8,
p1,realistic-engaged,comp-hoarder,completion,5,engagement-profile,158950.10,7200.00,4,N,,,12773782.01,0.00,700.00,22261.71,158058.10,0.00,3600.00,2700.00,900.00,1.0062e+0,2.6215e+5,1.6915e+8,
p1,realistic-engaged,comp-hoarder,completion,6,engagement-profile,214797.44,7200.00,4,N,,,29858764.22,0.00,700.00,10202.24,213900.44,0.00,3600.00,2700.00,900.00,1.0062e+0,9.2884e+4,1.6318e+9,
p1,realistic-engaged,comp-hoarder,completion,7,engagement-profile,100683.98,9900.00,4,N,,,687475.53,0.00,700.00,6791.07,99786.98,0.00,3600.00,5400.00,900.00,1.0062e+0,4.5005e+4,5.2750e+7,
p1,realistic-engaged,comp-hoarder,completion,8,engagement-profile,172545.97,6300.00,4,N,,,7312079.37,0.00,700.00,110426.72,172412.97,0.00,3600.00,1800.00,900.00,1.0062e+0,1.4997e+6,2.2173e+7,
p1,realistic-engaged,comp-hoarder,completion,9,engagement-profile,148949.59,10800.00,4,N,,,35302603.34,0.00,700.00,15604.78,148052.59,0.00,3600.00,6300.00,900.00,1.0062e+0,1.6871e+5,2.3853e+9,
p1,realistic-engaged,comp-hoarder,completion,10,engagement-profile,130769.21,9000.00,4,N,,,306619.54,0.00,700.00,19243.09,129873.21,0.00,3600.00,4500.00,900.00,1.0062e+0,2.1979e+5,4.2992e+7,
p1,realistic-engaged,comp-hoarder,completion,11,engagement-profile,122275.87,9000.00,4,N,,,4246614.12,0.00,700.00,7668.29,121379.87,0.00,3600.00,4500.00,900.00,1.0062e+0,5.7315e+4,5.4691e+7,
p1,realistic-engaged,comp-hoarder,completion,12,engagement-profile,72048.29,10800.00,4,N,,,1882963.19,0.00,700.00,12804.95,71156.29,0.00,3600.00,6300.00,900.00,1.0062e+0,1.2941e+5,2.5700e+7,
p1,realistic-engaged,comp-hoarder,completion,13,engagement-profile,146375.95,10800.00,4,N,,,620824.24,0.00,700.00,16841.53,145478.95,0.00,3600.00,6300.00,900.00,1.0062e+0,1.8607e+5,3.5298e+7,
